Title,Date,City,Location,Category,Source,Link
Foodies + New Friends Weekly: Pittsburgh | 2026 Club,"Thu, Jan 1","Pittsburgh, PA","Restaurant of the Week, Pittsburgh",Food & Drink,Eventbrite,https://www.eventbrite.com/e/foodies-new-friends-weekly-pittsburgh-2026-club-tickets-1979022275901
Liberty Science Center Wild About Animals Spring Celebration,"Sat, Mar 28 · 10:00 AM","Jersey City, NJ","222 Jersey City BlvdLiberty State Park, Jersey City",Music & Entertainment,Yelp Events,https://www.yelp.com/events/jersey-city-liberty-science-center-wild-about-animals-spring-celebration
Heated Rivalry Happy Hour & Trivia Night,"Wed, Apr 1","Jersey City, NJ","South House, Jersey City",Social,Eventbrite,https://www.eventbrite.com/e/heated-rivalry-happy-hour-trivia-night-tickets-1984656223189
Blue Lou's Comedy Club  |   Open Mic Night!,"Wed, Apr 1","Pittsburgh, PA","1514 E Carson St, Pittsburgh",Music & Entertainment,Eventbrite,https://www.eventbrite.com/e/blue-lous-comedy-club-open-mic-night-tickets-1304696314799
Flash Comedy,"Wed, Apr 1","New York City, NY","Mood Ring, Brooklyn",Music & Entertainment,Eventbrite,https://www.eventbrite.com/e/flash-comedy-tickets-1979288921445
Boozy Ice Cream Cocktail Class in Astoria,"Wed, Apr 1","New York City, NY","Tipsy Scoop, Queens",Food & Drink,Eventbrite,https://www.eventbrite.com/e/boozy-ice-cream-cocktail-class-in-astoria-tickets-1983797918978
Botanical Mixology Class,"Wed, Apr 1","New York City, NY","Festival Cafe, New York",Music & Entertainment,Eventbrite,https://www.eventbrite.com/e/botanical-mixology-class-tickets-1983900123675
Discovering King Tut's Tomb,"Wed, Apr 1 · 11:00 AM","Boston, MA","The Saunders Castle at Park Plaza, Boston",Other,Fever,https://feverup.com/m/532123
Dino Safari: A Walk-Thru Adventure,"Wed, Apr 1 · 11:00 AM","Cambridge, MA","CambridgeSide, Cambridge",Outdoor & Fitness,Fever,https://feverup.com/m/564900
Passover 2026 at Talia's - Kosher Restaurant NYC (Upper West Side),"Wed, Apr 1 · 2:00 PM","New York City, NY","Talias Steakhouse, New York City",Food & Drink,Resident Advisor,https://ra.co/events/2349391
Cirque du Soleil 2026: LUZIA in Miami,"Wed, Apr 1 · 7:30 PM","New York City, NY","Under the Big Top at Gulfstream Park, Miami",Other,Fever,https://feverup.com/m/457507
GTM Eng NYC: Claude Code + GTM Lightning Talks - Real-world use cases driving pipeline,"Wed, Apr 1 · 10:00 PM","New York City, NY",New York,Culture & Learning,Luma · Deepline,https://lu.ma/ycfvnrlq
Replit x RevenueCat: NYC Builder Meetup,"Wed, Apr 1 · 10:00 PM","New York City, NY",New York,Social,Luma · RevenueCat Events,https://lu.ma/yeeows9r
Fat Cat Fab Lab Makerspace Open House,"Wed, Apr 1 · 11:00 PM","New York City, NY","Fat Cat Fab Lab, 224 W 4th St #250, New York",Wellness,Luma · Deep Tech Week,https://lu.ma/1emd3tjb
The New York Philosophy Club: Columbus Circle,"Wed, Apr 1 · 11:00 PM","New York City, NY","New York Society for Ethical Culture, 2 W 64th St, New York",Culture & Learning,Luma · The New York Philosophy C,https://lu.ma/nkg1hwy6
"Am I The Drama, Cardi B Unofficial After Party","Thu, Apr 2","Boston, MA","Dani’s Queer Bar, Boston",Music & Entertainment,Eventbrite,https://www.eventbrite.com/e/am-i-the-drama-cardi-b-unofficial-after-party-tickets-1983909393401
